"","county","total","avg_percapita"
"1","Blount",20958654.812769,0.248620697896301
"2","Cherokee",26145905.652838,0.690114834712873
"3","Colbert",90986724.299043,1.1357830503859
"4","Cullman",78291139.748379,0.645381918450137
"5","Etowah",112960842.515853,0.75280913827254
"6","Fayette",8436952.915559,0.35087733802659
"7","Franklin",41952716.340563,0.912276022277698
"8","Jackson",57072410.451559,0.754343235633669
"9","Jefferson",494205243.637442,0.512856144046659
"10","Lamar",8666082.322561,0.427341841563476
"11","Lauderdale",67292893.339109,0.49758954222933
"12","Lawrence",21900183.762998,0.453425339259178
"13","Limestone",55326903.879347,0.397524736137026
"14","Madison",222833754.887418,0.419543448037236
"15","Marion",41042919.82318,0.942248298788823
"16","Marshall",123426820.92425,0.881507035027607
"17","Morgan",100883435.940586,0.57943915681786
"18","Pickens",11336299.142996,0.385444074177296
"19","Shelby",107780758.776359,0.344335426085281
"20","Tuscaloosa",124472556.021517,0.410023213777611
"21","Walker",95538948.31226,1.02258772381366
"22","Winston",29486414.050803,0.849473253460754
