"","County","rural","2016_ed_per_10k","2017_ed_per_10k","2018_ed_per_10k","2019_ed_per_10k","2016_deaths_per_100k","2017_deaths_per_100k","2018_deaths_per_100k","2019_deaths_per_100k"
"1","BLOUNT",2,17.74,16.27,10.04,7.26,NA,NA,NA,NA
"2","CHEROKEE",6,3.88,7.36,14.99,28.63,NA,NA,0,NA
"3","COLBERT",4,9.54,15.72,11.09,24.26,0,0,0,NA
"4","CULLMAN",5,6.43,8.09,7.07,6.21,15.76,13.29,13.18,NA
"5","ETOWAH",4,3.11,3.49,7.8,12.13,NA,26.28,14.63,13.69
"6","FAYETTE",6,15.09,12.15,10.95,6.75,0,NA,NA,NA
"7","FRANKLIN",5,11.7,18.71,11.82,29.97,NA,0,0,0
"8","JACKSON",5,2.31,3.28,4.07,2.32,0,NA,NA,NA
"9","JEFFERSON",2,8.59,8.25,8.84,8.58,25.17,24.58,21.23,21.71
"10","LAMAR",6,2.87,3.6,11.53,5.8,0,NA,0,0
"11","LAUDERDALE",4,3.03,3.78,4.64,17.25,NA,NA,NA,NA
"12","LAWRENCE",4,7.82,11.49,8.2,16.71,NA,NA,NA,NA
"13","LIMESTONE",3,6.14,6.59,3.22,3.54,NA,NA,NA,NA
"14","MADISON",3,8.47,13.02,7.6,3.16,4.48,5.54,3.27,8.85
"15","MARION",6,5.67,7.72,9.41,10.77,0,NA,0,NA
"16","MARSHALL",5,8.31,8.48,3.95,1.65,0,NA,NA,NA
"17","MORGAN",4,6.64,7.82,7.55,4.76,NA,NA,12.6,NA
"18","PICKENS",3,4.43,4.45,1.5,1,0,0,0,0
"19","SHELBY",2,6.96,5.52,5.98,6.57,13.29,12.64,11.13,10.11
"20","TUSCALOOSA",3,4.41,4.19,2.45,2.44,NA,6.74,5.74,8.12
"21","WALKER",2,12.71,13.3,11.47,10.86,NA,NA,NA,NA
"22","WINSTON",6,10.46,8.42,12.66,14.39,0,0,NA,NA
