County,Population_2016,Total_2016,Rate_2016,Population_2017,Total_2017,Rate_2017,Population_2018,Total_2018,Rate_2018,Population_2019,Total_2019,Rate_2019,Total,Avg_Rate
BLOUNT,57494,8968,0.16,57787,8132,0.14,57771,8003,0.14,57826,7230,0.13,32333,0.14
CHEROKEE,25768,14523,0.56,25805,11994,0.46,26014,11096,0.43,26196,10029,0.38,47642,0.46
COLBERT,54497,31913,0.59,54695,25494,0.47,55004,19393,0.35,55241,16659,0.30,93459,0.43
CULLMAN,82450,34239,0.42,82867,30803,0.37,83418,24771,0.30,83768,20753,0.25,110566,0.33
ETOWAH,102855,63516,0.62,103007,49825,0.48,102611,46211,0.45,102268,40961,0.40,200513,0.49
FAYETTE,16563,3959,0.24,16466,3323,0.20,16445,2738,0.17,16302,1946,0.12,11966,0.18
FRANKLIN,31611,14038,0.44,31542,10700,0.34,31298,8209,0.26,31362,7295,0.23,40242,0.32
JACKSON,51988,21755,0.42,51828,21736,0.42,51621,19681,0.38,51626,16860,0.33,80032,0.39
JEFFERSON,660343,210082,0.32,659599,182931,0.28,659429,158460,0.24,658573,137035,0.21,688508,0.26
LAMAR,13928,3240,0.23,13882,3324,0.24,13882,2836,0.20,13805,2689,0.19,12089,0.22
LAUDERDALE,92425,24176,0.26,92564,19682,0.21,92604,17315,0.19,92729,14574,0.16,75747,0.21
LAWRENCE,33227,9380,0.28,33063,7494,0.23,32941,6786,0.21,32924,5638,0.17,29298,0.22
LIMESTONE,92847,39738,0.43,94130,32782,0.35,96177,27684,0.29,98915,24831,0.25,125035,0.33
MADISON,356729,136148,0.38,361762,117519,0.32,367004,93982,0.26,372909,79978,0.21,427627,0.29
MARION,29960,21472,0.72,29792,19359,0.65,29750,15576,0.52,29709,13672,0.46,70079,0.59
MARSHALL,95113,44277,0.47,95572,37086,0.39,96170,32429,0.34,96774,29523,0.31,143315,0.38
MORGAN,119006,50208,0.42,118918,38349,0.32,119203,32947,0.28,119679,26834,0.22,148338,0.31
PICKENS,20325,3502,0.17,20204,3080,0.15,19980,2951,0.15,19930,2696,0.14,12229,0.15
SHELBY,211282,66686,0.32,213633,59896,0.28,215583,49193,0.23,217702,42107,0.19,217882,0.26
TUSCALOOSA,206464,44197,0.21,207618,40220,0.19,208319,36153,0.17,209355,31060,0.15,151630,0.18
WALKER,64533,52573,0.81,63895,45261,0.71,63669,41296,0.65,63521,35919,0.57,175049,0.69
WINSTON,23907,7998,0.33,23760,7595,0.32,23693,7404,0.31,23629,6723,0.28,29720,0.31
