,BUPRENORPHINE,,,,,,,,HYDROCODONE,,,,,,,,METHADONE,,,,,,,,OXYCODONE,,,,,,,
,2016,,2017,,2018,,2019,,2016,,2017,,2018,,2019,,2016,,2017,,2018,,2019,,2016,,2017,,2018,,2019,
County,total,PC,total,PC,total,PC,total,PC,total,PC,total,PC,total,PC,total,PC,total,PC,total,PC,total,PC,total,PC,total,PC,total,PC,total,PC,total,PC
BLOUNT,17.63,0.84,19.35,0.92,22.93,1.09,26.66,1.26,6.42,0.31,5.42,0.26,5.29,0.25,3.82,0.18,1.44,0.07,1.45,0.07,1.35,0.06,1.08,0.05,8.97,0.43,8.13,0.39,8.00,0.38,7.23,0.34
CHEROKEE,11.76,1.25,11.53,1.22,16.61,1.75,18.06,1.89,7.28,0.77,6.67,0.71,6.36,0.67,5.84,0.61,2.30,0.24,0.77,0.08,0.78,0.08,0.43,0.05,14.52,1.54,11.99,1.27,11.10,1.17,10.03,1.05
COLBERT,42.67,2.14,56.49,2.83,55.73,2.78,69.08,3.43,25.48,1.28,23.84,1.19,21.63,1.08,20.04,0.99,6.89,0.35,4.86,0.24,4.22,0.21,3.45,0.17,31.91,1.60,25.49,1.28,19.39,0.97,16.66,0.83
CULLMAN,55.68,1.84,61.61,2.04,71.18,2.34,79.75,2.61,24.40,0.81,21.09,0.70,17.76,0.58,15.03,0.49,11.48,0.38,8.04,0.27,5.81,0.19,3.78,0.12,34.24,1.13,30.80,1.02,24.77,0.81,20.75,0.68
ETOWAH,123.16,3.27,159.93,4.25,165.87,4.43,179.13,4.80,32.42,0.86,28.59,0.76,27.17,0.73,24.78,0.66,19.48,0.52,10.42,0.28,8.29,0.22,6.76,0.18,63.52,1.69,49.82,1.33,46.21,1.23,40.96,1.10
FAYETTE,1.63,0.27,2.02,0.34,2.58,0.43,4.67,0.79,2.64,0.44,2.24,0.37,1.85,0.31,1.70,0.29,3.91,0.65,3.53,0.59,2.77,0.46,2.41,0.40,3.96,0.65,3.32,0.55,2.74,0.46,1.95,0.33
FRANKLIN,28.84,2.49,35.52,3.09,38.19,3.34,43.35,3.79,13.89,1.20,10.68,0.93,8.82,0.77,8.57,0.75,2.31,0.20,1.58,0.14,1.13,0.10,0.76,0.07,14.04,1.21,10.70,0.93,8.21,0.72,7.30,0.64
JACKSON,11.00,0.58,12.39,0.65,12.42,0.66,15.52,0.82,16.86,0.89,15.27,0.81,13.14,0.70,11.80,0.63,1.70,0.09,1.49,0.08,1.03,0.05,0.66,0.04,21.76,1.14,21.74,1.15,19.68,1.04,16.86,0.89
JEFFERSON,658.07,2.72,666.92,2.77,721.68,3.00,786.10,3.27,147.75,0.61,130.48,0.54,114.64,0.48,101.34,0.42,52.74,0.22,43.74,0.18,33.47,0.14,24.96,0.10,210.08,0.87,182.93,0.76,158.46,0.66,137.03,0.57
LAMAR,3.48,0.68,4.65,0.92,6.64,1.31,9.16,1.82,2.64,0.52,2.26,0.45,2.01,0.40,1.76,0.35,1.63,0.32,1.47,0.29,1.54,0.30,1.56,0.31,3.24,0.64,3.32,0.66,2.84,0.56,2.69,0.53
LAUDERDALE,45.17,1.34,44.53,1.32,50.44,1.49,54.12,1.60,20.19,0.60,17.90,0.53,15.38,0.46,13.82,0.41,4.27,0.13,2.98,0.09,2.54,0.08,2.35,0.07,24.18,0.71,19.68,0.58,17.32,0.51,14.57,0.43
LAWRENCE,9.62,0.79,11.14,0.92,13.73,1.14,16.93,1.41,7.03,0.58,5.44,0.45,4.97,0.41,4.46,0.37,1.07,0.09,1.05,0.09,1.00,0.08,0.59,0.05,9.38,0.77,7.49,0.62,6.79,0.56,5.64,0.47
LIMESTONE,84.88,2.50,105.84,3.08,115.26,3.28,119.30,3.30,15.43,0.45,14.41,0.42,13.37,0.38,12.12,0.34,2.70,0.08,1.99,0.06,1.80,0.05,2.35,0.07,39.74,1.17,32.78,0.95,27.68,0.79,24.83,0.69
MADISON,191.81,1.47,212.39,1.61,237.91,1.78,257.63,1.89,67.53,0.52,60.34,0.46,50.96,0.38,44.01,0.32,12.94,0.10,10.32,0.08,7.34,0.05,5.51,0.04,136.15,1.04,117.52,0.89,93.98,0.70,79.98,0.59
MARION,49.06,4.47,61.11,5.62,74.56,6.87,83.39,7.69,12.15,1.11,10.64,0.98,9.71,0.89,8.55,0.79,4.77,0.44,3.17,0.29,2.51,0.23,2.16,0.20,21.47,1.96,19.36,1.78,15.58,1.43,13.67,1.26
MARSHALL,95.30,2.74,139.42,4.00,165.56,4.72,187.75,5.32,35.33,1.01,32.15,0.92,29.53,0.84,26.43,0.75,11.04,0.32,6.63,0.19,4.88,0.14,3.83,0.11,44.28,1.27,37.09,1.06,32.43,0.92,29.52,0.84
MORGAN,156.03,3.58,125.98,2.90,144.97,3.33,190.19,4.35,29.59,0.68,26.37,0.61,24.03,0.55,20.88,0.48,4.07,0.09,3.55,0.08,2.69,0.06,2.07,0.05,50.21,1.15,38.35,0.88,32.95,0.76,26.83,0.61
PICKENS,2.35,0.32,2.08,0.28,2.56,0.35,4.92,0.68,3.40,0.46,2.98,0.40,2.66,0.36,2.30,0.32,2.03,0.27,1.57,0.21,1.53,0.21,1.58,0.22,3.50,0.47,3.08,0.42,2.95,0.40,2.70,0.37
SHELBY,142.50,1.84,157.71,2.02,170.08,2.16,172.53,2.17,31.30,0.40,28.29,0.36,25.40,0.32,22.79,0.29,15.21,0.20,11.81,0.15,9.13,0.12,7.70,0.10,66.69,0.86,59.90,0.77,49.19,0.63,42.11,0.53
TUSCALOOSA,39.40,0.52,44.54,0.59,55.40,0.73,71.68,0.94,37.12,0.49,33.10,0.44,28.86,0.38,25.39,0.33,39.34,0.52,35.55,0.47,30.90,0.41,25.95,0.34,44.20,0.58,40.22,0.53,36.15,0.48,31.06,0.41
WALKER,95.43,4.04,118.20,5.07,152.01,6.54,168.75,7.28,28.17,1.19,24.61,1.06,22.65,0.97,20.10,0.87,18.78,0.80,13.91,0.60,11.36,0.49,8.79,0.38,52.57,2.23,45.26,1.94,41.30,1.78,35.92,1.55
WINSTON,29.30,3.35,35.73,4.12,47.54,5.50,47.74,5.54,8.47,0.97,7.87,0.91,7.04,0.81,6.10,0.71,3.09,0.35,2.55,0.29,1.70,0.20,1.43,0.17,8.00,0.91,7.59,0.88,7.40,0.86,6.72,0.78
