"","County","Total_2016","Total_2017","Total_2018","Total_2019","Total"
"1","BLOUNT",102,94,58,42,296
"2","CHEROKEE",10,19,39,75,143
"3","COLBERT",52,86,61,134,333
"4","CULLMAN",53,67,59,52,231
"5","ETOWAH",32,36,80,124,272
"6","FAYETTE",25,20,18,11,74
"7","FRANKLIN",37,59,37,94,227
"8","JACKSON",12,17,21,12,62
"9","JEFFERSON",567,544,583,565,2259
"10","LAMAR",4,5,16,8,33
"11","LAUDERDALE",28,35,43,160,266
"12","LAWRENCE",26,38,27,55,146
"13","LIMESTONE",57,62,31,35,185
"14","MADISON",302,471,279,118,1170
"15","MARION",17,23,28,32,100
"16","MARSHALL",79,81,38,16,214
"17","MORGAN",79,93,90,57,319
"18","PICKENS",9,9,3,2,23
"19","SHELBY",147,118,129,143,537
"20","TUSCALOOSA",91,87,51,51,280
"21","WALKER",82,85,73,69,309
"22","WINSTON",25,20,30,34,109
