"County","intercept_total_log","slope_total_log","baseline_rate_mil","annual_multiplier","annual_change_pct"
"Lauderdale",-13.374191123478,0.639334428192999,1.5547572661168,1.89521905506307,89.521905506307
"Cherokee",-12.7285782222167,0.625447106870456,2.96516397881241,1.86908144979876,86.9081449798763
"Etowah",-13.352082694517,0.481183124414628,1.5895132915794,1.61798755079723,61.7987550797229
"Franklin",-12.2787496387422,0.271826947482427,4.64950572951696,1.312359874479,31.2359874478999
"Colbert",-12.4449522987274,0.265517902647712,3.93754825469335,1.3041062009672,30.4106200967199
"Lamar",-13.3173806180523,0.215735512215504,1.6456409439513,1.2407741659882,24.0774165988197
"Lawrence",-12.7450699506208,0.209666032428822,2.91666432062359,1.23326612028252,23.3266120282519
"Marion",-13.0086401072082,0.193111596286329,2.2408840445554,1.21301815428737,21.3018154287367
"Winston",-12.6991134752556,0.141395125644885,3.05383165567581,1.15187969528582,15.1879695285825
"Jackson",-13.9538832442499,0.00906431557018958,0.870774105698132,1.00910552088379,0.910552088379091
"Jefferson",-12.9639039968241,0.00782544147220451,2.34340865861704,1.00785614026427,0.785614026427495
"Shelby",-13.2759158067885,-0.00942829062592287,1.7153115933096,0.990616016350455,-0.938398364954518
"Cullman",-13.1723171847522,-0.0214538113784587,1.902546730651,0.978774684678595,-2.12253153214049
"Walker",-12.6294432309916,-0.0545596154491048,3.27417957735437,0.946902057183749,-5.30979428162515
"Morgan",-13.214065488521,-0.0846682198764755,1.82475379200542,0.918817079080247,-8.1182920919753
"Fayette",-12.7488015588262,-0.200631910778836,2.90580075400569,0.818213551719914,-18.1786448280086
"Limestone",-13.5504337793041,-0.220901815635421,1.30353105530424,0.801795400197491,-19.8204599802509
"Tuscaloosa",-13.9153564631089,-0.22319919790323,0.904976859570386,0.799955483967378,-20.0044516032622
"Madison",-13.0711937118853,-0.277874761457624,2.10500290268055,0.75739167020364,-24.260832979636
"Blount",-12.62175176786,-0.288837001596653,3.29945990558728,0.749134303146836,-25.0865696853164
"Pickens",-14.0008712122491,-0.338514022890873,0.830804596575991,0.712828783398561,-28.7171216601439
"Marshall",-13.5044640840495,-0.442122698751671,1.36485264975801,0.642670775715718,-35.7329224284282
